lfd;Kurzform;Ortsname_BadWB;Lat;Lon
342;Elsenz;Elsenz;49.176408;8.833203
343;Elzach;Elzach;48.1757263;8.0718474
344;Emersb.;Emersbach;48.3325822;8.0056232
345;Emmendgn;Emmendingen;48.1206565;7.850993
346;Emmgn ab Egg;Emmingen ab Egg;47.931589;8.854045
347;Endenburg;Endenburg;47.7131852;7.7354855
348;Endermettgn;Endermettingen;47.70196;8.33823
349;Endgn;Endingen;48.1412922;7.6999031
350;Engelschwand;Engelschwand;47.6836975;8.0277581
351;Engelswies;Engelswies;48.042924;9.133892
352;Engen;Engen;47.8532383;8.7704457
353;Enkenstein;Enkenstein;47.6805418;7.8092533
354;Entersb.;Entersbach;48.3290137;8.0530716
355;Epfenb.;Epfenbach;49.336951;8.9122305
356;Epfenhfn;Epfenhofen;47.8177871;8.5552382
357;Eppelhm;Eppelheim;49.4025;8.63306
358;Eppgn;Eppingen;49.1373277;8.9084374
359;Epplgn;Epplingen;49.5055156;9.6274055
360;Erbersbronn;Erbersbronn;48.6349766;8.3235538
361;Erdmannswlr;Erdmannsweiler;48.1435399;8.4537789
362;Erlach;Erlach;48.5680829;8.0237404
363;Erlenb.;Erlenbach;49.38544;9.54991
364;Ersgn;Ersingen;48.9332707;8.6346048
365;Erzb.;Erzbach;48.3464695;8.0056674
366;Erzgn;Erzingen;47.6573292;8.4215904
367;Eschach;Eschach;47.86012;8.50437
368;Eschb. (Freib.);Eschbach (Freib.);48.00367;7.9824
369;Eschb. (Heitersh.);Eschbach (Heitersh.);47.89102;7.65541
370;Eschb. (Waldsh.);Eschbach (Waldsh.);47.63323;8.18078
371;Eschelb.;Eschelbach;49.2483126;8.7836182
372;Eschelbronn;Eschelbronn;49.3216701;8.8628361
373;Espasgn;Espasingen;47.8197652;9.0121845
374;Eßlgn;Eßlingen;47.9927;8.71709
375;Etthm;Ettenheim;48.2552348;7.81349
376;Etthmmünster;Ettenheimmünster;48.2430443;7.8753187
377;Etthmwlr;Ettenheimweiler;48.2357832;7.820823
378;Ettgn;Ettingen;47.713107;7.6034355
379;Ettlgn;Ettlingen;48.9397149;8.40427
380;Ettlingenw.;Ettlingenweier;48.9286598;8.3896132
381;Etzenrot;Etzenrot;48.9106109;8.4664085
382;Etzwihl;Etzwihl;47.6197614;8.1036187
383;Eubighm;Eubigheim;49.4998936;9.5405123
384;Eutgn;Eutingen;48.913107;8.745784
385;Ewattgn;Ewattingen;47.8384654;8.4440319
386;Fahrenb.;Fahrenbach;49.4314;9.15056
387;Fahrnau;Fahrnau;47.66065695;7.841629209
388;Falkau;Falkau;47.869318;8.125615
389;Falkensteig;Falkensteig;47.945076;7.99843
390;Faulenfürst;Faulenfürst;47.8077752;8.214708
391;Fautenb.;Fautenbach;48.623815;8.0519443
392;Feldbg;Feldberg;47.857858;8.037705
393;Feldk.;Feldkirch;47.9360866;7.6473928
394;Fessenb.;Fessenbach;48.465195;7.978636
395;Fetzenb.;Fetzenbach;47.712178;7.961778
396;Feudenhm;Feudenheim;49.21954;8.70807
397;Feuerb.;Feuerbach;47.73632;7.64108
398;Fischb. (Schluchsee);Fischbach (Schluchsee);47.8381;8.1697
399;Fischb. (Vill.);Fischbach (Vill.);48.15296;8.4925
400;Fischenbg;Fischenberg;47.7744967;7.7671149
401;Fischerb.;Fischerbach;48.287808;8.111432
402;Fischgn;Fischingen;47.650005;7.5999972
403;Flehgn;Flehingen;49.087236;8.780527
404;Flinsb.;Flinsbach;49.3070742;9.0006237
405;Föhrent.;Föhrental;48.0389674;7.9253292
406;Forb.;Forbach;48.6790385;8.3594916
407;Förch;Förch;48.8256695;8.232069
408;Forchhm (Emm.);Forchheim (Emm.);48.16667;7.7
409;Forchhm (Karlsr.);Forchheim (Karlsr.);48.97667;8.3145
410;Forst;Forst;49.1527177;8.5868965
411;Freiamt;Freiamt;48.1796989;7.9056536
412;Freib.;Freiburg;47.9960901;7.8494005
413;Freiolshm;Freiolsheim;48.8460952;8.3733608
414;Freistett;Freistett;48.6678905;7.9356649
415;Freudenbg;Freudenberg;49.7486131;9.3261061
416;Freudent. (Offb.);Freudental (Offb.);48.45;7.98333
417;Freudent. (Radolfz.);Freudental (Radolfz.);47.74725;9.08012
418;Frickgn;Frickingen;47.81318;9.272256
419;Friedenwlr;Friedenweiler;47.917078;8.2571947
420;Friedgn;Friedingen;47.7866579;8.8768844
421;Friedrichsd.;Friedrichsdorf;49.5193575;9.0526812
422;Friedrichsf.;Friedrichsfeld;49.4394048;8.5750181
423;Friedrichst.;Friedrichstal;49.10562;8.47724
424;Friesenhm;Friesenheim;48.3734866;7.882329
425;Fröhnd;Fröhnd;47.7587351;7.8839181
426;Fürstenbg;Fürstenberg;47.89226;8.55194
427;Furtwangen;Furtwangen;48.0512198;8.2073776
428;Fußb.;Fußbach;48.3636567;8.0140393
429;Fützen;Fützen;47.8076268;8.5304152
430;Gaggenau;Gaggenau;48.8030291;8.3201799
431;Gaibg;Gaiberg;49.3664;8.74972
432;Gaienhfn;Gaienhofen;47.6821346;8.9818583
433;Gailgn;Gailingen;47.6967256;8.758178993
434;Gaisb.;Gaisbach;48.5386413;8.0872142
435;Gaiß;Gaiß;47.6461636;8.1711497
436;Gallenwlr;Gallenweiler;47.883821;7.680815
437;Gallmannsweil;Gallmannsweil;47.9231371;8.994137
438;Gamburg;Gamburg;49.6936712;9.6016347
439;Gamsh.;Gamshurst;48.6631581;8.0186279
440;Gausb.;Gausbach;48.6862285;8.3626983
441;Geisgn;Geisingen;47.922968;8.6491814
442;Geißlgn;Geißlingen;47.6203594;8.3919242
443;Gemmgn;Gemmingen;49.1566963;8.9840589
444;Gengenb.;Gengenbach;48.4035425;8.0153059
445;Gerchshm;Gerchsheim;49.7061529;9.7846947
446;Gerichtstet.;Gerichtstetten;49.5348178;9.5042984
447;Gerlachshm;Gerlachsheim;49.5798828;9.7177399
448;Gernsb.;Gernsbach;48.7636394;8.3379924
449;Geroldsau;Geroldsau;48.7299655;8.253169
450;Gerolzahn;Gerolzahn;49.6258471;9.318909
451;Gersb.;Gersbach;47.6975505;7.9326403
452;Geschwend;Geschwend;47.804258;7.938615
453;Giersb.;Giersbach;47.6719579;8.0188657
454;Gissighm;Gissigheim;49.5945464;9.5877641
455;Glashfn;Glashofen;49.6245;9.36672
456;Glashütte (Bühl);Glashütte (Bühl);48.62851;8.18137
457;Glashütte (Stock.);Glashütte (Stock.);47.91046;8.90905
458;Glashütten;Glashütten;47.6326518;7.9642269
459;Glottert.;Glottertal;48.0486741;7.9602572
460;Göbrichen;Göbrichen;48.9564855;8.7071884
461;Gochshm;Gochsheim;49.1035815;8.7503582
462;Göggingen;Göggingen;48.00416;9.19811
463;Goldscheuer;Goldscheuer;48.508866;7.8253778
464;Gölshsn;Gölshausen;49.0439268;8.7214515
465;Gommersd.;Gommersdorf;49.3700919;9.6151126
466;Gondelshm;Gondelsheim;49.0591022;8.6596573
467;Görwihl;Görwihl;47.6411618;8.0784862
468;Göschwlr;Göschweiler;47.8582957;8.311165
469;Gottenhm;Gottenheim;48.0502889;7.7261673
470;Gottersd.;Gottersdorf;49.6372886;9.3097844
471;Gottmadgn;Gottmadingen;47.734011;8.7763444
472;Götzgn;Götzingen;49.4971494;9.3934883
473;Graben;Graben;49.15687;8.482734
474;Grafenhsn (Lahr);Grafenhausen (Lahr);48.28427;7.76678
475;Grafenhsn i. Schw.;Grafenhausen i. Schw.;47.77495;8.25731
476;Grasbeuren;Grasbeuren;47.7313108;9.2977489
477;Grauelsbaum;Grauelsbaum;48.7357885;7.9825142
478;Greffern;Greffern;48.7521656;8.0056049
479;Gremmelsb.;Gremmelsbach;48.1590731;8.2555173
480;Grenzach-Wyhlen;Grenzach-Wyhlen;47.5528548;7.6737981
481;Grenzhof;Grenzhof;49.41809;8.59574
482;Gresgen;Gresgen;47.711889;7.8188644
483;Griesb. (Freudenst.);Griesbach (Freudenst.);48.45041;8.23494
484;Griesb. (Simonsw.);Griesbach (Simonsw.);48.0895918;8.0915691
485;Grieshm;Griesheim;48.5104879;7.9253753
486;Grießen;Grießen;47.6264888;8.4109158
487;Grimmelshfn;Grimmelshofen;47.7861745;8.497838
488;Grißhm;Grißheim;47.8720469;7.5904683
489;Gromb;Grombach;49.2284445;8.9970131
490;Großeicholzhm;Großeicholzheim;49.4439727;9.288189
491;Großrind.;Großrinderfeld;49.6657707;9.7332965
492;Großsachsen;Großsachsen;49.5125945;8.6598293
493;Großschönach;Großschönach;47.8627073;9.2361602
494;Großw.;Großweier;48.6533046;8.0472781
495;Grötzgn;Grötzingen;49.0070818;8.4976343
496;Grünenwört;Grünenwört;49.774789;9.47467
497;Grunern;Grunern;47.8713724;7.720788
498;Grüngn;Grüningen;47.9841984;8.4715785
499;Grünsf.;Grünsfeld;49.6082782;9.7447803
500;Grünsfeldhsn;Grünsfeldhausen;49.6246742;9.7406799
501;Grünwald;Grünwald;47.8422182;8.2407755
502;Grünwettersb.;Grünwettersbach;48.957369;8.4685787
